Customer segment,Contract type,Tenure months,Churn
Small Business,One Year,49,Yes
Consumer,One Year,20,No
Enterprise,Month-to-Month,19,No
Small Business,One Year,9,No
Consumer,One Year,0,Yes
Enterprise,One Year,36,No
Small Business,Month-to-Month,72,No
Small Business,Month-to-Month,16,Yes
Consumer,Month-to-Month,32,No
Consumer,Month-to-Month,68,No
Consumer,Month-to-Month,56,No
Enterprise,Month-to-Month,0,No
Small Business,One Year,36,No
Small Business,Month-to-Month,10,Yes
Consumer,One Year,18,Yes
Consumer,Month-to-Month,17,Yes
Consumer,One Year,44,No
Consumer,Month-to-Month,14,Yes
Small Business,Month-to-Month,18,No
Small Business,One Year,16,No
Small Business,Two Year,26,No
Consumer,Month-to-Month,47,No
Enterprise,Month-to-Month,29,No
Enterprise,One Year,23,No
Small Business,One Year,37,No
Consumer,Month-to-Month,44,No
Consumer,Month-to-Month,1,No
Consumer,Month-to-Month,64,No
Consumer,Two Year,66,No
Small Business,Month-to-Month,43,No
Small Business,Month-to-Month,41,No
Enterprise,Two Year,50,No
Consumer,Month-to-Month,32,No
Consumer,Month-to-Month,26,No
Consumer,Month-to-Month,25,No
Consumer,Month-to-Month,11,Yes
Consumer,Month-to-Month,61,No
Consumer,Month-to-Month,23,No
Consumer,One Year,20,No
Small Business,One Year,70,No
Consumer,Month-to-Month,36,Yes
Small Business,One Year,45,Yes
Small Business,Month-to-Month,17,No
Consumer,Two Year,20,No
Small Business,Month-to-Month,53,No
Small Business,One Year,32,No
Consumer,Month-to-Month,10,No
Consumer,One Year,60,No
Small Business,Month-to-Month,29,No
Consumer,One Year,48,No
Consumer,Month-to-Month,24,Yes
Consumer,Two Year,40,No
Small Business,Month-to-Month,56,Yes
Small Business,One Year,64,No
Small Business,One Year,15,No
Small Business,Two Year,49,No
Consumer,Month-to-Month,66,No
Consumer,Month-to-Month,46,No
Consumer,Month-to-Month,10,Yes
Consumer,Month-to-Month,13,No
Small Business,One Year,14,No
Consumer,Two Year,7,No
Consumer,Two Year,55,No
