Lat,Lon,DistCentro_km,Area_m2,Habitaciones,Precio_USD,IndiceCrimen,IndiceVerde,IndiceRuido,PuntajeColegios,PuntajeTransporte
-12.142756,-77.095202,12.114,119.0,2,171476,85.3,30.0,80.9,52.6,66.2
-12.199037,-77.123723,19.085,98.5,3,141245,71.4,51.2,67.7,64.4,74.7
-12.211719,-77.088903,19.021,119.2,5,175394,80.4,38.7,75.6,69.8,65.6
-12.047812,-77.036031,0.751,95.7,2,276887,75.0,37.5,80.9,69.7,80.7
-12.164092,-77.144381,17.096,35.0,4,53051,67.0,43.9,79.4,42.5,55.3
-12.071074,-77.189554,16.165,85.0,2,183503,37.6,60.3,62.1,75.4,88.3
-12.084557,-77.07793,5.699,72.9,3,150904,52.8,59.1,50.8,70.3,75.1
-12.023562,-77.022998,3.324,71.8,5,212530,75.6,26.9,86.0,68.8,81.5
-12.045087,-77.15588,12.276,113.9,1,281770,58.3,57.9,52.6,68.5,91.0
-12.201414,-77.149699,20.754,35.0,3,51885,61.8,46.1,78.5,45.4,68.7
-12.040206,-77.036428,0.975,90.0,4,272985,75.6,34.2,75.6,82.2,93.0
-12.155709,-77.120939,14.804,41.2,1,64156,73.4,49.0,76.4,48.5,68.4
-12.060882,-77.153321,12.105,54.6,2,146201,49.1,71.2,71.3,81.4,98.9
-12.057034,-77.051243,1.494,90.9,3,241375,78.5,40.4,75.6,71.7,96.6
-12.084153,-77.16417,13.826,140.0,2,311982,58.2,67.5,59.9,77.6,73.2
-12.107202,-77.152938,13.729,35.0,2,50892,70.0,41.8,73.6,51.8,59.2
-12.050375,-77.037031,0.766,101.5,1,296958,83.8,37.1,72.1,76.4,80.2
-12.043383,-77.046699,0.54,73.1,3,212069,81.2,32.7,87.8,79.3,86.4
-12.066287,-77.165346,13.485,83.5,1,194801,64.1,69.3,64.0,70.8,78.1
-12.134523,-77.069979,10.217,96.1,5,182036,52.7,54.1,52.6,76.6,72.0
-12.135564,-77.090353,11.163,99.8,5,198469,48.8,55.1,55.5,81.3,81.5
-12.150957,-77.111768,13.811,142.4,3,214546,76.0,46.6,69.8,52.1,58.1
-12.082527,-77.094591,6.906,79.3,4,147445,45.0,60.1,52.5,69.8,82.1
-12.043421,-77.031294,1.292,134.9,2,370005,81.9,23.6,71.3,75.2,81.9
-12.115608,-77.067858,8.149,106.2,4,215126,43.8,50.3,57.8,75.8,93.1
-12.080798,-77.101506,7.429,66.8,5,128307,46.1,48.1,55.0,77.0,75.4
-12.144892,-77.134631,14.795,91.7,2,118820,95.0,48.9,69.0,58.2,66.6
-12.142673,-77.120325,13.602,97.6,5,145356,91.3,47.8,80.8,59.8,51.7
-12.124705,-77.120544,12.115,42.7,3,80355,43.8,46.3,38.6,74.2,79.8
-12.027411,-77.027688,2.671,84.9,3,261603,76.9,33.3,76.1,62.8,89.1
-12.168647,-77.178585,20.035,105.1,3,144110,66.4,43.0,67.5,64.5,52.9
-12.063958,-77.037039,2.047,94.3,1,300928,55.0,33.3,79.4,72.3,78.8
-12.151086,-77.097698,13.059,89.2,5,138096,62.7,57.0,69.4,54.0,52.0
-12.0959,-77.077697,6.674,118.3,6,230360,53.1,57.1,62.4,86.9,71.5
-12.133429,-77.112167,12.248,94.9,3,179925,48.7,58.0,53.6,73.0,77.4
-12.07756,-77.056097,3.748,131.3,6,240891,48.1,45.3,36.0,76.2,79.8
-12.044627,-77.045079,0.316,89.8,3,282633,80.1,28.7,82.4,75.7,83.3
-12.04612,-77.065634,2.479,82.8,4,261594,75.3,28.2,78.8,81.9,94.3
-12.162102,-77.103654,14.442,54.5,4,77858,78.3,54.2,67.9,57.3,61.6
-12.11707,-77.10592,10.416,35.0,5,67610,55.2,56.1,59.1,67.1,86.7
-12.052557,-77.03746,0.896,35.0,5,103407,95.0,23.4,88.5,75.1,75.7
-12.042695,-77.043038,0.412,91.9,4,278907,95.0,37.5,80.2,58.2,86.9
-12.042015,-77.171157,13.942,60.9,5,138870,53.1,65.8,68.4,60.1,88.8
-12.183984,-77.144498,18.844,109.0,5,154532,66.4,45.0,76.0,55.3,57.1
-12.137742,-77.084111,11.086,63.6,4,114298,41.1,59.2,55.6,71.0,77.8
-12.130584,-77.104899,11.522,102.8,5,177432,45.6,62.8,57.2,64.9,74.9
-12.157567,-77.0998,13.804,56.1,4,64359,80.7,33.1,73.1,49.6,56.9
-12.150879,-77.123756,14.551,96.3,5,192315,52.1,45.9,57.4,79.8,92.1
-12.2227,-77.159836,23.332,51.4,2,73700,71.1,42.3,71.2,47.7,73.9
-12.051363,-77.052591,1.197,118.9,3,345696,60.6,25.5,77.3,63.1,92.7
-12.093861,-77.133768,11.192,128.3,5,168269,73.4,35.2,76.6,58.7,78.7
-12.06421,-77.191753,16.29,93.3,1,236814,47.5,57.0,59.3,65.4,86.3
-12.176656,-77.077328,14.936,66.1,2,93324,67.2,45.4,83.5,56.6,63.2
-12.037378,-77.035585,1.271,71.4,2,218561,72.1,27.5,77.2,64.0,80.6
-12.100226,-77.093952,8.157,114.5,3,225318,47.8,50.2,54.9,81.4,94.5
-12.081397,-77.101503,7.463,75.1,6,149640,30.9,54.6,60.4,58.2,77.9
-12.070088,-77.144364,11.334,104.8,5,252967,58.4,68.0,63.1,71.8,86.6
-12.048859,-77.031544,1.252,137.3,1,454086,80.2,25.3,74.5,61.9,89.4
-12.04689,-77.038203,0.502,164.7,2,518729,74.4,31.5,78.2,60.4,87.7
-12.041733,-77.052678,1.191,84.4,4,246711,82.9,16.7,68.4,69.4,78.1
-12.157049,-77.115583,14.604,67.4,3,131177,36.7,40.6,60.4,71.9,73.3
-12.07016,-77.143809,11.278,112.5,1,293816,44.5,70.1,59.7,67.4,86.6
-12.079108,-77.108329,7.986,92.9,4,189906,51.7,52.4,51.8,68.6,76.5
-12.182052,-77.159579,19.683,60.9,5,80006,66.4,41.4,70.8,43.2,62.6
-12.044703,-77.040922,0.278,63.4,3,172315,82.9,30.1,72.5,74.5,91.3
-12.025769,-77.043786,2.293,138.7,2,420944,71.5,38.7,82.0,67.4,96.9
-12.141039,-77.05445,10.581,107.7,5,197789,49.7,48.9,53.2,62.8,72.6
-12.134858,-77.153005,15.477,58.3,2,76980,69.1,42.6,72.9,51.1,67.2
-12.179814,-77.151478,18.934,63.3,3,84505,55.6,37.5,70.1,45.3,63.0
-12.091366,-77.081711,6.539,111.7,3,207678,31.4,56.3,49.2,80.3,89.1
-12.110116,-77.09877,9.324,90.7,6,166075,40.6,60.0,53.7,70.5,74.1
-12.049604,-77.040035,0.465,75.3,2,223144,82.6,38.3,78.3,45.8,85.4
-12.056314,-77.086379,4.857,109.7,5,229724,49.3,64.5,50.7,81.2,67.5
-12.101623,-77.105305,9.144,135.0,6,228624,38.6,65.6,40.2,65.2,68.4
-12.14733,-77.12991,14.661,54.3,4,85417,61.3,50.7,67.1,43.9,62.9
-12.073544,-77.161663,13.25,40.9,5,87754,56.1,57.0,55.6,55.8,90.5
-12.175792,-77.118596,16.552,120.6,3,189724,65.7,46.7,68.9,35.8,75.3
